artifact,category,attack,tactic,attack_count,defense_count,impact_count,similar_count,risk_score,centrality_score,attack_global_frequency,same_category_frequency,rule_score_total,matched_rule_count,max_rule_weight,unique_rule_types_count,identity_rule_score,file_rule_score,protocol_rule_score,port_rule_score,system_rule_score,context_rule_score,network_rule_score,has_port_signal,has_protocol_signal,has_file_signal,has_identity_signal,has_system_signal,has_context_signal,has_network_signal,label
Access Token,Identity,Make and Impersonate Token,Defense Evasion,7,2,1,6,15,16,5,3,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Make and Impersonate Token,Credential Access,7,2,1,6,15,16,5,3,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Make and Impersonate Token,Credential Access,7,2,1,6,15,16,5,3,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Steal Application Access Token,Credential Access,7,2,1,6,15,16,2,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Steal Application Access Token,Credential Access,7,2,1,6,15,16,2,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Steal Application Access Token,Credential Access,7,2,1,6,15,16,2,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Steal or Forge Kerberos Tickets,Credential Access,7,2,1,6,15,16,4,4,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Steal or Forge Kerberos Tickets,Credential Access,7,2,1,6,15,16,4,4,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Steal or Forge Kerberos Tickets,Credential Access,7,2,1,6,15,16,4,4,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Steal or Forge Kerberos Tickets,Credential Access,7,2,1,6,15,16,4,4,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Steal or Forge Kerberos Tickets,Credential Access,7,2,1,6,15,16,4,4,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Steal or Forge Kerberos Tickets,Credential Access,7,2,1,6,15,16,4,4,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Token Impersonation/Theft,Credential Access,7,2,1,6,15,16,2,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Access Token,Identity,Token Impersonation/Theft,Credential Access,7,2,1,6,15,16,2,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Application Configuration,Configuration,Disable Windows Event Logging,Unknown,4,2,0,0,8,6,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Application Configuration,Configuration,Email Forwarding Rule,Unknown,4,2,0,0,8,6,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Application Configuration,Configuration,Email Hiding Rules,Unknown,4,2,0,0,8,6,6,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Application Configuration,Configuration,Email Hiding Rules,Unknown,4,2,0,0,8,6,6,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Application Configuration,Configuration,Email Hiding Rules,Unknown,4,2,0,0,8,6,6,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Application Configuration,Configuration,Impair Command History Logging,Unknown,4,2,0,0,8,6,7,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Boot Loader,System,Bootkit,Unknown,1,1,0,0,2,2,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Certificate File,File,Application Layer Protocol,Unknown,5,1,0,6,10,12,5,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Certificate File,File,Asymmetric Cryptography,Unknown,5,1,0,6,10,12,5,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Certificate File,File,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Unknown,5,1,0,6,10,12,5,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Certificate File,File,Exfiltration Over C2 Channel,Unknown,5,1,0,6,10,12,3,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Certificate File,File,Web Protocols,Unknown,5,1,0,6,10,12,5,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Accessibility Features,Unknown,43,2,0,0,86,45,7,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,AppCert DLLs,Unknown,43,2,0,0,86,45,5,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,AppInit DLLs,Unknown,43,2,0,0,86,45,5,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Application Shimming,Unknown,43,2,0,0,86,45,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Authentication Package,Unknown,43,2,0,0,86,45,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Bypass User Account Control,Unknown,43,2,0,0,86,45,6,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,COR_PROFILER,Unknown,43,2,0,0,86,45,3,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Change Default File Association,Unknown,43,2,0,0,86,45,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Cloud Instance Metadata API,Unknown,43,2,0,0,86,45,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Cloud Service Dashboard,Unknown,43,2,0,0,86,45,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Cloud Service Discovery,Unknown,43,2,0,0,86,45,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Control Panel,Unknown,43,2,0,0,86,45,4,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Disable Windows Event Logging,Unknown,43,2,0,0,86,45,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Disable or Modify System Firewall,Unknown,43,2,0,0,86,45,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Domain or Tenant Policy Modification,Unknown,43,2,0,0,86,45,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Email Forwarding Rule,Unknown,43,2,0,0,86,45,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Email Hiding Rules,Unknown,43,2,0,0,86,45,6,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Email Hiding Rules,Unknown,43,2,0,0,86,45,6,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Email Hiding Rules,Unknown,43,2,0,0,86,45,6,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Emond,Unknown,43,2,0,0,86,45,3,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,File and Directory Permissions Modification,Unknown,43,2,0,0,86,45,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Group Policy Discovery,Unknown,43,2,0,0,86,45,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Group Policy Preferences,Unknown,43,2,0,0,86,45,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Impair Command History Logging,Unknown,43,2,0,0,86,45,7,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Impair Command History Logging,Unknown,43,2,0,0,86,45,7,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Netsh Helper DLL,Unknown,43,2,0,0,86,45,3,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Office Template Macros,Unknown,43,2,0,0,86,45,6,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Office Test,Unknown,43,2,0,0,86,45,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Outlook Home Page,Unknown,43,2,0,0,86,45,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Outlook Rules,Unknown,43,2,0,0,86,45,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Password Filter DLL,Unknown,43,2,0,0,86,45,3,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Port Monitors,Unknown,43,2,0,0,86,45,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,RC Scripts,Unknown,43,2,0,0,86,45,4,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Registry Run Keys / Startup Folder,Unknown,43,2,0,0,86,45,5,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,SID-History Injection,Unknown,43,2,0,0,86,45,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,SIP and Trust Provider Hijacking,Lateral Movement,43,2,0,0,86,45,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Safe Mode Boot,Unknown,43,2,0,0,86,45,3,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Screensaver,Unknown,43,2,0,0,86,45,4,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Security Software Discovery,Unknown,43,2,0,0,86,45,3,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Security Support Provider,Unknown,43,2,0,0,86,45,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Services Registry Permissions Weakness,Unknown,43,2,0,0,86,45,3,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Setuid and Setgid,Unknown,43,2,0,0,86,45,2,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Startup Items,Unknown,43,2,0,0,86,45,3,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,System Location Discovery,Unknown,43,2,0,0,86,45,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Time Providers,Unknown,43,2,0,0,86,45,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Configuration Resource,Configuration,Winlogon Helper DLL,Unknown,43,2,0,0,86,45,2,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Container Image,System,Implant Internal Image,Unknown,1,1,0,0,2,2,1,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Create File,File,Compiled HTML File,Unknown,2,1,0,0,4,3,3,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Create File,File,Local Data Staging,Unknown,2,1,0,0,4,3,3,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1
Create Process,Process,AppCert DLLs,Unknown,24,4,0,7,48,35,5,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,AppInit DLLs,Unknown,24,4,0,7,48,35,5,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,Application Window Discovery,Unknown,24,4,0,7,48,35,2,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,Asynchronous Procedure Call,Unknown,24,4,0,7,48,35,2,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,Bypass User Account Control,Unknown,24,4,0,7,48,35,6,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,CMSTP,Unknown,24,4,0,7,48,35,3,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,Compiled HTML File,Unknown,24,4,0,7,48,35,3,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,Control Panel,Unknown,24,4,0,7,48,35,4,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,Deobfuscate/Decode Files or Information,Unknown,24,4,0,7,48,35,6,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,Mshta,Unknown,24,4,0,7,48,35,4,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,Parent PID Spoofing,Unknown,24,4,0,7,48,35,2,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,Process Discovery,Unknown,24,4,0,7,48,35,2,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,Process Doppelgänging,Unknown,24,4,0,7,48,35,2,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,Remote System Discovery,Unknown,24,4,0,7,48,35,5,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,Rundll32,Unknown,24,4,0,7,48,35,3,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,SQL Stored Procedures,Unknown,24,4,0,7,48,35,4,3,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,Scheduled Task/Job,Unknown,24,4,0,7,48,35,5,4,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,System Information Discovery,Unknown,24,4,0,7,48,35,3,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,System Network Configuration Discovery,Unknown,24,4,0,7,48,35,4,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,System Owner/User Discovery,Unknown,24,4,0,7,48,35,9,5,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,System Service Discovery,Unknown,24,4,0,7,48,35,2,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,System Time Discovery,Unknown,24,4,0,7,48,35,2,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,Windows Management Instrumentation,Unknown,24,4,0,7,48,35,5,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Create Process,Process,XSL Script Processing,Unknown,24,4,0,7,48,35,5,2,3.0,1.0,3.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,1,0,0,1
Credential,Identity,/etc/passwd and /etc/shadow,Unknown,18,9,1,6,37,34,3,1,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Additional Cloud Credentials,Unknown,18,9,1,6,37,34,4,1,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Application Access Token,Credential Access,18,9,1,6,37,34,3,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Application Access Token,Credential Access,18,9,1,6,37,34,3,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Cached Domain Credentials,Unknown,18,9,1,6,37,34,2,1,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Create Process with Token,Privilege Escalation,18,9,1,6,37,34,4,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Create Process with Token,Privilege Escalation,18,9,1,6,37,34,4,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Create Process with Token,Credential Access,18,9,1,6,37,34,4,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Create Process with Token,Credential Access,18,9,1,6,37,34,4,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Golden Ticket,Credential Access,18,9,1,6,37,34,2,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Golden Ticket,Credential Access,18,9,1,6,37,34,2,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Keychain,Unknown,18,9,1,6,37,34,2,1,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Make and Impersonate Token,Defense Evasion,18,9,1,6,37,34,5,3,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Make and Impersonate Token,Credential Access,18,9,1,6,37,34,5,3,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Make and Impersonate Token,Credential Access,18,9,1,6,37,34,5,3,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,NTDS,Unknown,18,9,1,6,37,34,1,1,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Password Cracking,Unknown,18,9,1,6,37,34,2,1,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Password Guessing,Unknown,18,9,1,6,37,34,4,1,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Password Spraying,Unknown,18,9,1,6,37,34,7,1,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Steal Application Access Token,Credential Access,18,9,1,6,37,34,2,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Steal Application Access Token,Credential Access,18,9,1,6,37,34,2,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Steal Application Access Token,Credential Access,18,9,1,6,37,34,2,2,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
Credential,Identity,Steal Web Session Cookie,Credential Access,18,9,1,6,37,34,1,1,5.5,2.0,3.5,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1
